origin,destination,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
DK,CY,null,53125,56764,40771,30235,26063,30995,30139,33197,36414,29849,28162,37332,34661,34531,29932,30203
DK,CZ,null,193007,152562,136589,126587,114310,101139,114003,96310,118642,120456,102548,137071,126374,115529,105461,112385
DK,DE,384070,1497679,1410215,1393164,1518094,1455587,1375822,1238963,1218236,1156009,1028516,956391,1076304,1052071,1009702,885191,833683
DK,DK,null,1684878,1765424,1785953,1869847,1797761,1847487,1777520,1788809,2258511,2298279,1867029,1868095,1868343,1716427,1591865,1521271
DK,EE,null,61093,55506,40421,41094,53814,59651,61285,64013,70761,75795,76158,76872,76624,74500,64914,58852
DK,EL,null,495787,514627,481711,436317,423489,390358,343679,309594,341401,317059,319246,334926,342745,333454,294722,284430
DK,ES,null,1565985,1736044,1725309,1565291,1265273,1222622,1176122,1079406,1100214,1100878,1015000,1027667,934672,795073,803032,744391
DK,FI,91764,465813,503642,462367,413800,398247,409223,427438,474658,399404,332876,311906,386366,377352,395199,396738,342441
DK,FR,null,737179,723301,707823,703067,644609,642555,617855,629825,608912,580759,535788,556278,592484,581493,598647,537105
DK,HR,null,122260,120008,108743,86923,66018,75532,66681,60620,39986,34584,20142,18143,null,null,null,null
DK,HU,null,142366,144847,143320,137094,96248,71514,68651,48728,87778,82778,91423,86871,94616,100659,84701,65036
DK,IE,null,137051,138590,144968,141177,157650,133178,124986,99591,103418,92386,95112,124315,115174,85347,97232,84443
DK,IS,87320,289443,320612,291510,285855,237133,222446,209790,200367,199356,174845,186154,220023,242576,221958,218008,202818
DK,IT,null,758784,759166,754947,746936,684816,623431,620361,535808,472134,492847,426782,435694,449572,423397,387765,384262
DK,LT,null,180222,176428,167553,177402,129860,106595,104147,98316,91789,108199,87197,115269,121145,114811,91738,null
DK,LU,5522,40769,40643,30411,25470,39527,40861,31261,27001,28907,28002,27068,37990,36330,41121,18052,19015
DK,LV,null,135039,134380,118838,91524,90165,91821,88117,88778,82887,82848,80075,94513,90788,89372,62104,62739
DK,ME,null,6396,9266,6743,4196,null,null,null,null,null,null,null,null,null,null,null,null
DK,MK,null,20778,20151,18455,12452,null,null,null,null,null,null,null,null,null,null,null,null
DK,MT,null,41365,42681,41426,39111,32700,33690,33924,31638,30695,27317,16064,19032,22865,25044,21170,19001
DK,NL,291605,910691,902274,851921,804395,742446,690056,630531,604934,581248,476461,464179,499074,522895,489221,422901,392094
DK,NO,null,1384303,1392201,1382080,1444029,1400404,1382787,1314642,1304988,1214290,1105732,1020749,1225132,1173111,1136497,1085766,1128056
DK,PL,null,447454,375567,325111,297030,283198,244428,229859,211002,183496,152044,152561,194532,197148,157844,79564,79556
DK,PT,null,197426,199805,183060,164435,127256,147147,147574,120782,110860,121863,99838,103473,103814,77599,105625,102890
DK,RO,null,99244,82636,61407,23427,16680,16854,16167,13464,10793,11956,11765,17685,10293,8767,8646,13696
DK,RS,null,27172,16079,16947,18195,null,null,null,null,null,null,null,null,null,null,null,null
DK,SE,null,900134,982672,964776,1021144,930095,938170,849490,853515,806632,774035,711242,841132,832572,852736,905487,908389
DK,SI,null,13070,16713,12927,8985,10688,8631,8895,10782,9219,10303,8418,10313,10379,10865,7462,6298
DK,SK,90,4,612,368,0,16,26,4718,3738,50,5,3212,108,10135,10292,7159,13
DK,TR,null,567823,545633,464104,527319,587565,572274,535555,476793,null,null,null,null,null,null,null,null
DK,UK,null,1780882,1788162,1788558,1869765,1676822,1474858,1379570,1276129,1276900,1198987,1222620,1194367,1168658,1152726,1140511,1106226
EE,AT,null,23492,25683,25254,19166,12548,2387,2731,14310,1339,1939,2276,14271,10143,4386,3920,1751
EE,BE,null,30478,22350,30009,18489,21087,22443,23608,28282,15396,7963,10679,16249,16439,12513,10332,2799
EE,BG,0,20728,19806,19729,18775,13165,12642,11311,7677,4739,5676,6798,7124,4953,null,null,null
EE,CH,null,609,647,545,539,911,801,801,945,428,335,579,689,984,1236,810,664
EE,CY,null,20442,16919,2491,1559,2265,854,1248,1129,1053,5,1221,866,200,551,5,43
EE,CZ,null,486,92,92,118,8,190,443,11955,28375,31028,27834,42074,48427,40795,35717,26890
EE,DE,66754,211293,216635,214912,196257,172225,155198,133619,148351,117761,71926,48461,91320,89518,103552,103587,68087
EE,DK,null,55943,51494,35318,36786,50047,53545,56726,59923,62590,65486,66504,69902,68065,67665,60769,57861
EE,EE,null,15273,13691,12232,8529,9553,8161,9465,12953,14674,12227,11052,10243,9645,10198,10133,8012
EE,EL,null,31593,35998,32663,28786,16895,12590,7988,7427,8798,11398,18348,20845,24094,12803,9377,4236
EE,ES,null,33916,36109,34641,31147,33857,34591,31744,33678,30207,11381,14008,33912,26931,19273,11215,8437
EE,FI,50319,162155,147857,142410,130777,111511,108348,104259,113029,96282,82208,76862,88067,86378,99472,84378,83172
EE,FR,null,21422,18204,20670,17906,28471,8619,6074,17382,7668,4354,5816,8126,10839,7741,10190,13050
EE,HR,null,3835,4133,5284,4322,3023,2643,178,null,2,57,1866,3090,null,null,null,null
EE,HU,null,55,166,70,null,0,15,42,null,null,null,null,0,null,29,null,26
EE,IE,null,10625,11189,11341,11063,6934,3018,10787,15006,24490,2872,2176,7079,8847,9150,11522,1806
EE,IS,26,null,349,250,179,174,206,572,392,404,376,277,733,804,1216,1102,195
EE,IT,null,43631,47982,46032,47076,34503,26742,26328,29589,25579,6611,5374,22476,18228,14238,12029,8855
EE,LT,null,44087,44842,41996,31431,22377,34319,19677,38150,17401,30008,17906,41602,26292,19315,17426,null
EE,LU,null,41,null,null,8,1,null,3,1,0,null,0,null,0,100,null,60
EE,LV,null,143599,122543,109955,100427,90724,90492,95877,89964,89181,83293,79226,37937,21501,16114,14133,10803
EE,ME,null,2143,2678,2211,null,null,null,null,null,null,null,null,null,null,null,null,null
EE,MK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EE,MT,null,8732,7720,179,662,857,177,171,177,261,582,141,139,270,277,95,null
EE,NL,13597,39731,52919,52338,41560,39930,41657,42518,46239,27207,4464,20724,43109,37828,23772,25379,9
EE,NO,null,62733,72124,62262,74692,74224,66728,64763,75989,63608,43885,44877,52611,57336,41477,25274,16610
EE,PL,null,94230,71246,54096,23063,17413,16010,12085,11686,10193,6451,225,7033,9793,8132,8085,8429
EE,PT,null,1725,1321,339,676,1202,8258,1121,1043,2488,3245,1582,5088,2213,1608,1300,null
EE,RO,null,null,null,null,null,null,null,null,null,39,0,null,6,null,562,1106,925
EE,RS,null,87,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EE,SE,null,143172,114959,99089,68306,52294,53516,65237,86998,77458,66949,65196,82337,87540,77456,73277,51985
EE,SI,null,119,243,117,null,null,148,null,null,214,null,87,54,37,null,null,37
EE,SK,1,5,3,8,null,null,6,null,7,null,297,null,null,null,null,127,2
EE,TR,null,101697,85007,72029,52532,74853,62064,47899,24051,null,null,null,null,null,null,null,null
EE,UK,null,113672,89237,66400,52929,73016,73772,71300,85683,122644,52565,49939,78556,90687,43398,null,null
EL,AT,null,614068,496283,435075,434865,454257,424454,389121,319790,329704,357638,378556,436169,461445,486468,463018,462355
EL,BE,null,550656,547315,525324,476219,506140,476519,396635,385362,420168,354843,362032,380972,383826,396787,377182,365646
EL,BG,42017,130210,137490,113018,78519,53275,55166,53599,53503,54360,50649,51797,59188,58433,null,null,null
EL,CH,null,702681,684028,664521,642936,597805,552697,461329,488081,511026,452255,470317,460114,446839,410475,325870,292431
EL,CY,null,845187,863158,823310,795836,688530,587711,489043,566993,556200,589840,580953,617811,601995,535388,580074,545517
EL,CZ,null,456385,441697,383232,320421,350523,328418,293511,277634,301177,329877,379587,400875,360051,334730,289310,236097
EL,DE,1637698,4038921,4025540,3474237,2915674,2634315,2545339,2172279,2014245,2257547,2174299,2269793,2363903,2455938,2368319,2348916,2296310
EL,DK,null,519980,544203,504674,435443,414673,380831,334142,302726,332378,311175,310828,326003,334660,323608,290593,276541
EL,EE,null,33333,38888,34592,29311,17711,12500,8300,7823,9272,11980,18325,20434,23977,12674,9513,4219
EL,EL,null,8542877,8519310,8307366,8144685,7444693,6232660,5157477,5299188,5726913,6361903,6994121,6718412,6853491,6314245,5946950,5764873
EL,ES,null,453761,380374,309538,256644,225518,186811,177068,234520,310863,320862,277707,273660,252548,207790,160161,128427
EL,FI,11982,313277,301172,231747,210788,196183,192163,187760,193853,208813,172145,178770,173863,172044,151816,136125,141783
EL,FR,null,1393369,1287888,1127152,1089642,1052550,943639,811689,796647,848025,806299,798663,775694,747555,700402,742459,674809
EL,HR,null,51330,40499,28821,22128,14895,9959,7085,7277,8018,10023,1880,2306,null,null,null,null
EL,HU,null,217820,187116,154440,145959,127644,86900,63524,83593,133376,117393,129692,136592,149050,152379,141816,98578
EL,IE,null,105005,82628,78250,69268,45266,40020,28905,25927,28597,26478,47557,78459,77882,65510,69417,67133
EL,IS,null,2271,3152,2110,2084,1698,2163,2025,null,540,null,204,4997,5533,3414,3694,3930
EL,IT,null,1895827,1785527,1626567,1589954,1463485,1322281,1116135,1082957,1173129,1041312,973556,1111288,1240017,1151175,1025865,906349
EL,LT,null,77831,90760,48149,50245,46452,45542,38292,32532,32361,15534,20483,30915,27608,15504,6638,null
EL,LU,15171,42295,38918,34114,33316,28945,27139,25342,20831,28073,21875,23424,28479,30248,28599,27763,24735
EL,LV,null,49480,51001,45995,38343,32982,23380,16503,21685,23714,21454,20389,26434,24732,10556,6822,3200
EL,ME,null,2574,3025,1733,70,null,null,null,null,null,null,null,null,null,null,null,null
EL,MK,null,3756,549,null,784,null,null,null,null,null,null,null,null,null,null,null,null
EL,MT,null,46552,31285,36910,31176,15875,16171,15224,14691,12830,7054,11562,12588,10497,14682,10514,9940
EL,NL,311629,1136218,1092670,979250,769292,725726,717784,618706,557648,665397,606889,661625,768202,793266,776153,658628,623631
EL,NO,null,372486,380945,362561,364341,345418,386413,371775,370313,318131,298880,283684,289312,276850,265930,229799,217194
EL,PL,null,994094,1130377,850880,741754,607349,533952,350025,264279,340515,269488,271101,275383,228474,183296,101900,79442
EL,PT,null,62194,46538,26119,12375,1513,2066,1740,16497,14860,1613,2738,2246,3791,5406,4971,16921
EL,RO,null,273612,284411,237475,206899,145213,129957,115559,107063,115696,126847,142859,146478,140924,101250,79853,67294
EL,RS,null,150865,115072,118874,109883,null,null,null,null,null,null,null,null,null,null,null,null
EL,SE,null,607060,650914,629073,561603,528556,491040,394481,384938,382433,352325,328808,356887,364995,350265,301340,321762
EL,SI,null,25623,27017,25568,25812,30435,28879,21293,23923,33393,37713,49106,51269,47850,43187,38263,24716
EL,SK,14056,118726,126183,108227,105352,85683,66293,43450,37101,50636,48291,53997,77907,75990,75670,57342,50717
EL,TR,null,521467,468588,423803,413465,493267,415811,334371,266716,null,null,null,null,null,null,null,null
EL,UK,null,4060404,3869342,3589738,3315178,3044607,2801357,2475518,2397770,2387656,2360329,2439706,2601394,2726043,2759347,2801067,2921308
ES,AT,null,1296411,920839,738787,817835,779346,745813,672151,735114,704435,579600,536791,608984,572130,536446,464383,445100
ES,BE,null,3085664,3014296,2972359,2807373,2717472,2507665,2209091,2130683,2109825,1893229,1729801,1770945,1733565,1683029,1524509,1458797
ES,BG,96037,257229,265433,258392,184885,142068,141902,134540,131869,138696,145103,126110,103374,77868,null,null,null
ES,CH,null,3165760,3167849,3159758,3031531,2720566,2565856,2441956,2385618,2241567,1863676,1686008,1805973,1732580,1575745,1250548,1031434
ES,CY,null,619,11907,10758,3317,3424,5151,10132,16665,20093,3750,950,880,1284,2701,3459,3443
ES,CZ,null,642975,622953,500059,422204,349288,308057,330264,342943,413394,372912,381361,416322,370238,306630,280110,261215
ES,DE,3181672,14326281,14661972,14134298,13681225,12409246,12150813,11438118,10965752,11001042,10487378,10117993,10871639,10979472,10606113,10285263,9557481
ES,DK,null,1551550,1709852,1710315,1545707,1269218,1228958,1178706,1083409,1102185,1101735,981915,1008273,1004130,873605,821825,757764
ES,EE,null,33720,35608,35116,31505,33979,33511,32411,33135,30740,10837,13826,33439,28826,21343,11929,8536
ES,EL,null,457967,386879,310206,258870,234714,187227,180307,238030,315706,327418,279966,276417,262778,219536,175460,148807
ES,ES,null,42470011,39863513,36080449,33384149,30837209,29139344,28526199,33126814,37826810,38080942,37386423,40613383,44257644,41049608,38703375,34821915
ES,FI,189693,871446,901247,797141,697995,688932,735098,697630,584410,562814,461147,483451,498966,522432,439756,400301,385423
ES,FR,null,6974426,6550043,6079852,5817348,5460847,4945185,4625634,4742932,4559254,3878950,3776349,4199676,4055172,3418095,3132276,2835006
ES,HR,null,178347,165730,130239,123775,110676,81981,69833,74624,79023,71019,51120,53635,null,null,null,null
ES,HU,null,528625,471087,373142,332160,256520,193819,164172,221316,150467,156046,158197,161435,166257,139833,117848,92656
ES,IE,null,2335317,2163497,2077102,1970839,1712838,1532282,1515008,1452097,1431332,1362566,1546892,1771113,1813362,1566207,1384575,1254812
ES,IS,27025,157034,206045,158400,122739,90140,63109,53960,53190,43810,35834,35353,83969,81915,83102,61281,46859
ES,IT,null,8142345,7634076,6989321,6489149,5918811,5217274,4819712,5381030,5905602,5367187,4788004,4976691,5241982,4340142,3747470,3186789
ES,LT,null,133479,147284,122390,125179,116206,82882,77762,68789,47005,25355,17408,37132,19580,10552,11129,null
ES,LU,100370,286538,270227,237406,198743,169663,148968,146617,122149,124941,102476,98633,117666,117027,120064,121073,131273
ES,LV,null,115641,105123,69872,50221,45942,49221,47168,45477,66345,55654,38559,29481,24712,15378,10544,3268
ES,ME,null,7986,61,148,57,null,null,null,null,null,null,null,null,null,null,null,null
ES,MK,null,15369,14297,16518,15949,8147,null,null,null,null,null,null,null,null,null,null,null
ES,MT,null,187209,158501,115308,87931,68980,61444,83107,84863,87374,86661,57474,63284,26747,15728,16673,16429
ES,NL,1202383,4388808,4379919,4312301,3793422,3176889,2958412,2769020,2771219,2836015,2377575,2241660,2508474,2565619,2377670,2142375,2138867
ES,NO,null,1436928,1527763,1570237,1468533,1383657,1445986,1463126,1197395,1099911,978274,825390,943818,865205,773238,688936,646876
ES,PL,null,1169894,1338875,1230301,1036054,822615,664694,582710,540043,567123,425789,321056,327810,242321,186260,117146,87384
ES,PT,null,2801918,2460067,2138839,1786289,1594318,1443720,1365124,1526453,1615812,1485220,1348827,1417878,1599956,1161791,1014659,854895
ES,RO,null,904995,850662,795177,678997,581900,533207,516514,487929,587215,546351,484301,435345,302400,131107,37996,46302
ES,RS,null,30599,19065,14248,16063,null,null,null,null,null,null,null,null,null,null,null,null
ES,SE,null,1761298,1864136,1944814,1669356,1487254,1451206,1413790,1260832,1197972,975365,848633,1045184,1005959,919362,808270,811216
ES,SI,null,3377,3132,3130,2866,562,2463,2408,5029,7452,11353,7621,11354,9862,9111,2795,718
ES,SK,2332,59308,80568,89908,83653,73462,47367,51948,62100,101916,72148,39679,43826,31274,27001,23264,16483
ES,TR,null,727600,670745,595740,606021,633794,589933,429690,374882,null,null,null,null,null,null,null,null
ES,UK,null,22306956,21916725,22582366,20727142,17874021,17119295,16351332,15637820,15728337,14366502,15182750,17260202,17782517,17430811,17275929,16747463
FI,AT,null,112848,103153,105024,100039,87443,90235,79784,77211,115242,103983,99557,107354,97059,96095,79784,71617
FI,BE,null,121948,102859,94991,85622,93813,93599,92850,109199,129268,103433,92007,106920,112534,121796,104437,111495
FI,BG,49,34200,37680,25861,19908,19870,18776,25401,19476,30026,29329,33316,52222,60204,null,null,null
FI,CH,null,166887,157245,143394,142819,168197,145099,131104,123244,140600,115731,116645,124973,112262,91869,68985,79670
FI,CY,null,21756,23386,16826,16315,17674,22076,27890,28314,34848,31169,31276,31578,20999,32437,29637,33467
FI,CZ,null,153608,157913,157723,141231,111053,105355,91853,73673,70813,67193,64359,67350,65896,65848,66055,55998
FI,DE,274558,1057893,955244,943599,879967,842247,852613,817383,831180,826600,730724,728431,736544,767807,654040,585805,542586
FI,DK,null,448943,492671,464521,412426,394838,397801,410815,457088,381412,327098,309461,378211,375644,393579,388051,342778
FI,EE,null,149877,137721,127815,117439,110258,112266,107770,108858,97779,81306,76196,88135,88818,100078,85426,84832
FI,EL,null,296322,282535,222180,212431,199055,196077,190407,194791,214416,177915,183770,176929,178645,160302,142159,151731
FI,ES,null,883930,901608,796136,700585,690248,744967,704669,593537,569477,463734,488128,503404,453684,415289,401421,380521
FI,FI,1058005,3063397,3085016,2828013,2692099,2602198,2558397,2472888,2751458,2783495,2302441,2419046,2733149,2888750,2919770,2831324,2922857
FI,FR,null,363359,348824,327633,303553,304855,306269,305673,275337,288810,288266,260655,261348,232185,211856,185230,170089
FI,HR,null,115144,111405,102142,79594,63690,52461,51746,35908,23575,17817,14457,8418,null,null,null,null
FI,HU,null,136271,137671,126181,115994,109750,106828,107488,91431,102176,97848,91066,89638,97376,88390,87210,80252
FI,IE,null,62391,67094,56574,47724,31322,10886,18329,13299,9705,9297,23687,41100,52613,24345,19995,20102
FI,IS,17472,113162,101258,90971,71355,53816,37941,29666,28169,24645,17384,13662,14066,11389,8992,11375,6712
FI,IT,null,309491,290178,259269,240578,273796,196218,237299,255700,255361,209184,216568,265157,201324,155495,128617,110754
FI,LT,null,75496,56025,48987,45883,40964,39247,50090,55773,54325,43439,37202,50982,44105,38100,31694,null
FI,LU,531,544,542,712,692,600,227,148,148,null,null,109,6,106,49,25,0
FI,LV,null,204291,184931,168910,142715,133865,135939,143442,173246,229971,211119,143023,121668,95662,90776,82627,50306
FI,ME,null,7580,4687,4348,null,null,null,null,null,null,null,null,null,null,null,null,null
FI,MK,null,7818,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FI,MT,null,5635,11991,16307,14415,9340,null,684,1178,4147,7313,5528,8583,9262,8362,7113,3928
FI,NL,133380,370983,370432,348688,293187,262070,257933,246625,238572,243444,209115,207961,212633,222979,220417,199943,187230
FI,NO,null,303435,281916,256374,204892,196569,197000,181024,172499,170133,141652,127123,138606,138999,119073,116577,112719
FI,PL,null,259847,194478,148229,139427,122573,104808,115217,121733,115091,92488,86450,97557,80136,61636,43911,45661
FI,PT,null,131663,100485,63527,50108,56656,57658,60253,57664,79680,78782,74133,61557,55098,46790,48476,47799
FI,RO,null,18956,19280,10452,null,127,271,212,173,16001,16961,17541,13645,10618,3800,110,4596
FI,RS,null,5656,4,4,null,null,null,null,null,null,null,null,null,null,null,null,null
FI,SE,null,950874,967477,929641,877177,832179,799226,754318,742578,680671,593308,555948,634244,659614,712080,676925,643185
FI,SI,null,15386,13273,15982,15134,15047,13841,14372,12042,10839,9098,9698,13271,12450,84,191,395
FI,SK,60,1417,158,97,79,129,341,471,965,343,260,255,40,null,6,null,654
FI,TR,null,203272,215218,179042,204518,278700,280512,256486,213985,null,null,null,null,null,null,null,null
FI,UK,null,736792,701872,643454,587946,567153,553092,507007,482353,504648,492166,473907,482386,472789,455490,375935,378673
FR,AT,null,748844,638368,606918,550390,512195,517440,512750,563670,526876,521478,456346,507769,460247,399873,363234,307788
FR,BE,null,1215378,1216160,1199846,1062159,1081981,1026531,924526,865034,787645,722510,654537,661833,565311,507435,449522,432837
FR,BG,76128,171872,157718,128739,102735,102671,101842,101662,123230,114775,103954,99608,107376,102220,null,null,null
FR,CH,null,2062121,2025052,1978093,1880143,1806735,1805335,1677969,1624478,1522876,1433792,1390881,1337220,1298828,1241266,1143809,1070965
FR,CY,null,18271,32239,46150,46169,45084,48542,33548,43434,45142,54936,50242,57545,60664,78809,76513,76158
FR,CZ,null,621665,559936,550521,499719,438416,442739,483325,508643,510962,443440,407715,425364,398847,383523,333080,305213
FR,DE,932965,4147813,4032768,3825856,3605568,3516183,3567210,3547058,3666604,3522023,3186510,3190722,3484788,3614599,3414819,3006879,2880791
FR,DK,null,790637,774972,747963,745490,689975,690117,668081,688614,656566,596258,546097,575491,616633,605296,624516,559025
FR,EE,null,22460,19094,20346,17002,29652,9013,6314,17865,7793,4873,5738,8523,11474,8452,10880,13370
FR,EL,null,1478662,1374893,1247959,1169753,1166169,1045557,917450,873849,925191,868329,876937,857926,837788,778835,772938,708618
FR,ES,null,7710395,7309175,6859284,6531723,6119614,5473075,4708057,4800176,4592923,3893938,3803692,4225385,4035623,3397578,3124001,2818032
FR,FI,80806,338355,325358,310249,287580,285086,281958,285320,258959,272707,270461,246852,254850,226092,208233,178536,162116
FR,FR,null,31675847,31010245,30128981,29065709,28303711,28071823,28736405,28239587,27738977,26268710,25940804,26764353,27164929,26987442,26606911,26397440
FR,HR,null,381629,345534,323464,298405,254088,240356,235779,226450,217510,188362,182257,205228,null,null,null,null
FR,HU,null,407939,368535,368696,325645,277896,237072,224752,242490,252124,233650,252335,230809,257014,239591,224395,188988
FR,IE,null,1067899,1012278,961128,969411,950519,861138,785468,769081,755901,788205,923731,1013013,957538,869187,724484,627058
FR,IS,27398,157931,265646,249559,224691,142160,120759,97607,81052,70351,51106,42189,49405,54437,46959,41009,37078
FR,IT,null,6238944,5937382,5673051,5482654,5446009,5185731,4970989,4810612,4613323,4127124,4000962,4150690,4078673,3549550,3251967,3091491
FR,LT,null,82986,86794,71616,58152,52524,56234,40787,36099,26621,25517,1241,30947,13844,10051,11265,null
FR,LU,66756,173552,133988,100706,90979,72726,61516,60554,52378,52060,47111,48290,61202,76592,90343,91789,85825
FR,LV,null,93776,87490,70717,63442,79254,79259,65686,49649,61833,51689,54449,40647,17413,12608,9047,145
FR,ME,null,50873,47222,36962,25114,null,null,null,null,null,null,null,null,null,null,null,null
FR,MK,null,87267,78496,65425,57014,56104,null,null,null,null,null,null,null,null,null,null,null
FR,MT,null,224223,202424,176690,146293,139512,139508,119418,106401,98950,88950,73219,77172,68761,71685,78626,85007
FR,NL,600463,1866297,1887289,1893945,1771322,1566655,1580334,1496745,1420330,1309680,1204020,1228215,1301080,1256300,1131748,1018079,1006310
FR,NO,null,444253,444133,385969,378233,400173,412879,386616,373888,358847,344948,313463,349451,368659,310517,290932,251826
FR,PL,null,751740,711596,672102,589536,578807,500827,471294,443143,437276,391087,360377,404499,377819,340627,235164,198881
FR,PT,null,3653630,3572595,3402518,3059423,2581909,2342867,2039406,1744168,1580857,1407495,1248749,1184444,1115140,1030611,897106,873522
FR,RO,null,604638,542962,422989,402101,391091,365854,353752,339205,332009,291679,271667,228233,227148,180655,127621,123072
FR,RS,null,207603,45777,17301,17138,null,null,null,null,null,null,null,null,null,null,null,null
FR,SE,null,603105,557808,569240,539322,558158,565475,562571,509060,537214,454026,466481,595705,584014,528416,367396,365657
FR,SI,null,49424,49780,41936,36635,35709,37390,37257,30989,71434,52143,56234,70801,63807,58280,47346,38675
FR,SK,3194,17121,14419,14203,18869,19056,16390,15764,24091,36247,33594,39749,57262,65171,79661,60572,45838
FR,TR,null,1558261,1385758,1244717,1231269,1432745,1432321,1362302,1201027,null,null,null,null,null,null,null,null
FR,UK,null,6783789,6754218,6739237,6301105,5952629,5701416,5477927,5384383,5376195,4989868,5534055,6046115,6139672,6046089,5759630,5630291
HR,AT,null,176748,168342,171515,152718,138331,134717,133054,139041,140540,118783,116832,134660,121440,100754,91892,77067
HR,BE,null,126202,122231,121662,110930,97275,83180,73657,52586,45263,40910,30784,38476,36651,36724,33972,27631
HR,BG,17,962,861,1465,62,219,489,485,819,926,1176,1670,322,360,null,null,null
HR,CH,null,191098,194860,161738,137465,122090,91776,78250,76125,67115,62193,59097,54504,47421,43925,26892,23862
HR,CY,null,83,57,44,665,55,203,33,54,31,325,145,1185,973,436,121,7
HR,CZ,null,63791,50342,49786,40640,29489,26720,20334,15692,21381,25318,30650,37117,37398,41701,32419,34176
HR,DE,272063,1229077,1091135,947659,829318,781849,727435,729587,686292,642668,610804,576508,585339,551052,509315,435767,361086
HR,DK,null,117872,117271,107812,85804,64810,73345,64118,58727,41707,35458,21272,19119,5040,6105,7262,7676
HR,EE,null,3708,5600,7060,5601,3276,2734,177,null,null,54,1906,3077,3776,3841,1704,null
HR,EL,null,46626,35905,26224,19075,12074,8375,6408,5550,6926,7643,1111,2086,2207,1273,1375,1210
HR,ES,null,179920,162069,128871,121882,108116,82305,69141,73913,80467,71321,50748,52704,35296,18695,12948,8003
HR,FI,1068,110869,105088,97873,75076,61204,48589,48880,33957,23035,16407,13487,7641,5399,4185,7725,5254
HR,FR,null,345450,315096,295974,277899,232368,229592,226009,217684,213543,183145,179767,207605,191433,192093,187860,101765
HR,HR,null,542215,559416,557405,528594,505628,510768,507646,534517,532196,469925,521553,562269,null,null,null,null
HR,HU,null,142,0,374,65,1330,23996,25661,12366,22886,19492,21673,20655,44834,43927,41395,35737
HR,IE,null,116254,80062,65853,54359,49116,43625,38909,28799,33246,34039,37899,46411,57603,46834,46187,36432
HR,IS,8,1202,851,116,null,null,null,698,null,null,null,98,null,null,143,137,184
HR,IT,null,195728,178865,147950,123362,129461,111958,77170,76162,94603,78370,54753,62371,82409,67574,61838,38050
HR,LT,null,529,56,11,12,89,2290,2318,1581,6,488,1600,1517,1569,2274,1351,null
HR,LU,1825,4979,5277,3367,2481,1683,1581,1813,218,330,408,1138,1357,888,1154,970,835
HR,LV,null,14253,12127,7830,7916,6587,3077,3367,213,1762,1274,1438,2031,1418,298,13,7
HR,ME,null,590,881,null,0,null,null,null,null,null,null,null,null,null,null,null,null
HR,MK,null,37389,34914,26222,24667,23286,null,null,null,null,null,null,null,null,null,null,null
HR,MT,null,1762,1824,2238,1922,1774,1588,2026,1460,1748,2263,2305,1781,1768,1246,1607,557
HR,NL,69256,224269,191162,176587,142477,117533,78743,51370,50729,45555,43938,46805,54278,52760,48764,45876,46996
HR,NO,null,165146,164786,150628,130746,122460,133716,126052,94722,82244,86314,64104,67167,68693,63056,43587,18403
HR,PL,null,119120,90016,65174,47884,13535,31877,31187,20398,6570,12398,9407,6504,7374,6981,5058,5659
HR,PT,null,16041,14703,15778,8096,14543,13915,11569,10069,11805,9605,9610,11099,9841,7660,163,1642
HR,RO,null,4720,4710,3825,575,49,510,43,1706,1381,1441,1329,175,89,94,93,43
HR,RS,null,54779,27439,30372,28827,null,null,null,null,null,null,null,null,null,null,null,null
HR,SE,null,193530,195090,193341,151882,119230,120667,110786,84178,72212,62594,61617,59331,46486,45468,40401,25906
HR,SI,null,224,1940,175,126,72,194,498,1142,1446,1201,1050,4883,4797,2664,3415,8228
HR,SK,1945,1219,1256,1268,1357,1103,1014,2802,2767,2326,2062,8194,9394,10709,12786,13845,9351
HR,TR,null,120104,113001,96860,76461,76098,80732,59413,69926,null,null,null,null,null,null,null,null
HR,UK,null,906569,830791,806032,617957,528643,485156,443939,380936,307830,296641,287385,276011,317413,279485,196188,140555
HU,AT,null,57725,52259,51646,48365,51933,53499,52192,51496,37386,32645,31404,36071,41749,43153,42883,48960
HU,BE,null,269567,281390,274743,253950,244190,225878,205754,210607,148741,145233,132270,135796,145081,112330,105906,80211
HU,BG,5790,38087,42143,41205,23692,12396,13333,19300,31679,69233,61815,73481,70124,64156,null,null,null
HU,CH,null,306970,259751,213852,191108,184880,180151,216981,159010,193270,192489,207526,182810,180807,158019,150955,122730
HU,CY,null,65010,47785,27488,26049,23902,23604,30390,21813,39848,35658,32764,30081,30518,35283,32499,28254
HU,CZ,null,118405,102274,56135,40209,31628,29941,36520,45377,77367,77569,86981,89877,97399,82715,84590,85799
HU,DE,250331,1123247,1073661,973695,828880,745788,707668,716136,772392,740920,663552,648542,729777,743439,755848,750433,629790
HU,DK,null,144151,146664,142437,136132,96423,71709,67544,50681,88259,82617,89775,84530,95021,103134,87359,65620
HU,EE,null,58,304,61,21,null,null,76,222,78,54,131,null,null,null,null,null
HU,EL,null,218182,181946,151786,144088,130670,87936,62635,82994,138923,120315,136691,144988,162942,163390,140765,105062
