origin,destination,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
BE,ME,null,25854,26830,26897,21891,null,null,null,null,null,null,null,null,null,null,null,null
BE,MK,null,28195,24355,21423,17207,18591,null,null,null,null,null,null,null,null,null,null,null
BE,MT,null,114188,118521,121563,58024,50675,43064,38339,37280,39886,34625,34733,39634,37124,37547,36385,30339
BE,NL,55160,150896,134344,124398,106709,116385,120732,111696,106095,113551,114386,102812,121490,124086,118664,116676,119465
BE,NO,null,148564,141858,140341,125424,130639,123717,116664,120229,123993,115370,87547,92978,92279,86956,87021,75678
BE,PL,null,432198,414613,395926,351964,354945,263907,215499,183041,210129,196137,178483,177777,165448,127898,98832,83378
BE,PT,null,810358,747976,694237,661284,647172,586933,411857,383526,376107,347690,347856,374943,359141,305002,279051,262824
BE,RO,null,359792,335324,323683,270566,244122,172049,150566,126732,120342,109820,97570,87132,57481,39185,33234,29987
BE,RS,null,19103,14902,15366,14727,null,null,null,null,null,null,null,null,null,null,null,null
BE,SE,null,308176,283047,278384,253628,244573,223362,212818,235727,226425,227440,179352,186391,199717,216308,161553,208938
BE,SI,null,48789,53676,52954,48670,51879,46556,43418,29714,28989,31433,29742,50433,46136,33546,18353,16472
BE,SK,4424,31159,32171,32584,44790,29060,28309,32918,31653,35799,30839,18461,0,1141,17378,14816,10252
BE,TR,null,684205,649718,538057,490227,728325,757631,752236,703589,null,null,null,null,null,null,null,null
BE,UK,null,778982,808330,773491,712758,780101,702064,633106,633498,607855,554002,586580,691416,808194,811234,857299,930592
BG,AT,null,251601,226178,212600,209866,207092,211912,217296,262454,201982,179141,156377,197339,167095,116471,118913,99434
BG,BE,null,149362,179185,150747,109694,91909,87402,77973,76583,82049,79917,79235,72521,57564,46131,43795,38302
BG,BG,136620,300618,322869,291668,175901,173520,177915,196376,213914,214399,193971,182613,148639,94652,null,null,null
BG,CH,null,50884,51198,58247,52322,39519,22310,21628,18732,40661,41324,44316,47678,16998,17649,18092,22592
BG,CY,null,81777,76688,50654,39654,39649,31784,30777,31963,36349,36548,35556,40240,35578,27346,24749,22675
BG,CZ,null,187717,192763,174876,140006,118431,107052,105046,124037,128434,116700,118066,149983,149443,133282,135589,124584
BG,DE,391885,1031228,1135713,1028554,909013,706746,706582,650114,614886,603644,563306,562667,626229,629726,616272,653955,645699
BG,DK,null,72189,73845,68013,52309,38105,34210,39306,38733,50348,56022,48245,71003,85739,85853,69089,54151
BG,EE,null,21207,20182,20199,19177,13438,12846,11592,7858,4857,5601,6949,7292,5001,1175,52,null
BG,EL,null,131842,137080,107031,78323,52323,54392,51702,53604,54267,50276,52577,58658,59483,50429,45040,38778
BG,ES,null,251255,255353,244660,180266,140959,141308,132891,130913,138272,143800,127818,104627,75219,67831,50419,28684
BG,FI,214,34464,37058,25077,20430,19884,18960,25409,19541,29961,29385,33328,52466,59349,78810,75628,53533
BG,FR,null,156106,135521,108221,97425,96090,100739,100652,119127,111953,102423,99974,105924,99530,92996,79361,67118
BG,HR,null,821,563,530,189,62,595,282,884,1085,1293,1783,362,null,null,null,null
BG,HU,null,37613,41585,40651,23885,10774,11787,17421,28464,65685,58094,67336,63783,59946,67283,54037,37848
BG,IE,null,55435,51035,48146,22241,15424,13860,14179,16311,21743,19582,34675,52181,56662,44637,16206,6909
BG,IS,null,55,null,1432,null,481,null,2,null,null,207,468,1797,2354,5504,148,261
BG,IT,null,349341,417153,403191,278673,208362,182846,168291,171951,178515,167304,147769,144313,171449,108199,83990,67418
BG,LT,null,19689,28003,22234,21489,14641,17280,14631,10173,6231,3699,4287,3955,3089,3011,2312,null
BG,LU,3459,12607,12180,12162,11087,11219,11562,12458,10688,11113,4765,3544,5919,4092,5584,5991,3984
BG,LV,null,14293,22288,12005,13791,12842,14586,10046,7503,4592,3884,4759,5451,2588,1541,1206,1139
BG,ME,null,368,null,325,45,null,null,null,null,null,null,null,null,null,null,null,null
BG,MK,null,123,10,null,0,0,null,null,null,null,null,null,null,null,null,null,null
BG,MT,null,23541,26765,25764,20946,16676,7597,824,1487,522,7354,5008,1158,3547,943,342,673
BG,NL,102861,179150,185162,168663,115327,97921,101830,101604,97210,91394,83731,68519,71627,62848,57767,44058,24390
BG,NO,null,45493,57873,60592,60039,52568,57007,58303,55558,54601,44608,45515,62035,79462,60468,33817,19567
BG,PL,null,343897,380792,283491,244804,163249,142494,124502,109194,111521,88089,74617,66863,53480,42812,26203,22835
BG,PT,null,16319,15171,6816,3978,578,339,293,1397,1879,2858,3179,5068,4000,5824,2749,1624
BG,RO,null,21760,23585,21565,18747,19623,29478,23880,26408,19129,16649,16707,17306,16261,14148,11479,13796
BG,RS,null,17313,7210,6932,10537,null,null,null,null,null,null,null,null,null,null,null,null
BG,SE,null,23700,36008,42191,36156,31677,26428,20942,20193,24000,28622,38011,59126,83438,86531,89153,86397
BG,SI,null,4167,3735,null,0,80,595,1813,1860,3853,3468,2561,1997,3395,4920,5968,5636
BG,SK,8299,73725,82029,53127,38151,33393,34496,35439,35382,33351,23988,23132,35497,37321,44288,23352,17793
BG,TR,null,188447,169349,133601,127265,139677,109788,87511,72621,null,null,null,null,null,null,null,null
BG,UK,null,989564,914654,894177,700996,553242,492776,481466,446956,430260,421514,429254,480502,469471,455978,382846,291389
CH,AT,null,791175,794089,752393,721815,720063,673385,671845,652261,621527,561626,547424,536684,506497,473881,492721,445485
CH,BE,null,470177,462093,439450,401943,429821,419775,394231,393898,399113,352237,350625,382997,334725,297202,285650,278626
CH,BG,22088,39595,37238,44107,51349,37134,22837,23156,20752,40452,39078,39861,43913,17027,null,null,null
CH,CH,null,686420,714718,727109,735106,656832,604706,597369,629138,660544,664468,625879,678461,671338,705503,740507,750918
CH,CY,null,73440,71530,47754,63655,43903,50441,42751,45963,46579,45675,39982,40594,43034,43873,44799,48502
CH,CZ,null,171722,181144,161293,140864,143669,156948,172578,147753,160198,158917,177330,188448,223450,164230,135811,107913
CH,DE,905734,3417219,3478477,3447347,3289921,3143139,3005223,2965143,3054571,3043920,2714844,2675077,2760630,2642623,2374434,2039081,1864807
CH,DK,null,371022,341412,339549,321173,325977,346844,312826,320959,332113,329012,314711,335912,309228,267139,277652,230513
